country,seq_n
Albania,43
Andorra,25
United Kingdom,940775
Austria,11694
Poland,20825
Slovakia,7005
Azerbaijan,14
Belarus,90
Belgium,48337
France,105617
Spain,67593
Netherlands,62090
Portugal,17519
Switzerland,66876
Slovenia,22092
Bosnia and Herzegovina,207
Bulgaria,4633
Ukraine,362
Croatia,7409
Cyprus,168
Czech Republic,8788
Denmark,168988
Estonia,5878
Finland,18181
Germany,197296
Greece,9306
Hungary,434
Iceland,9672
Ireland,32891
Italy,61430
Kosovo,483
Latvia,5624
Liechtenstein,111
Lithuania,18990
Luxembourg,12752
Malta,294
Moldova,67
Monaco,76
Montenegro,216
Russia,8087
North Macedonia,699
Norway,26269
Romania,2244
Serbia,323
Sweden,105395
Turkey,61484
